c_d,ce_cs,ce_sg,f_q,f_sg,c_q,ca_sg,w,w/c,p_q,p_ts,p_sg,slump,c_sg,Predicted_c_cs
444.75,50.2,3.15,300.3,2.56,1334.0,2.53,191.3,0.43,67.7,40,1.38,12,2.29,43.969242
444.75,50.2,3.15,583.6,2.56,1334.0,2.53,191.3,0.43,83.4,40,1.38,11,2.27,42.6816
444.75,50.2,3.15,567.0,2.56,1334.0,2.53,191.3,0.43,100.1,40,1.38,9,2.24,36.709576
444.75,50.2,3.15,533.6,2.56,1334.0,2.53,191.3,0.43,133.4,40,1.38,7,2.2,34.32863
300.0,48.0,3.2,500.0,2.61,1600.0,2.82,135.0,0.45,0.0,60,1.32,10,2.29,64.74205
300.0,48.0,3.2,475.0,2.61,1600.0,2.82,135.0,0.45,25.0,60,1.32,9,2.26,66.842354
300.0,48.0,3.2,550.0,2.61,1550.0,2.82,165.0,0.55,0.0,60,1.32,9,2.33,43.045883
300.0,48.0,3.2,522.5,2.61,1550.0,2.82,165.0,0.55,27.5,60,1.32,8,2.3,43.07717
400.0,48.0,3.2,420.0,2.61,1500.0,2.82,180.0,0.45,0.0,60,1.32,7,2.4,65.96701
400.0,48.0,3.2,309.0,2.61,1500.0,2.82,180.0,0.45,21.0,60,1.32,6,2.35,67.783264
400.0,48.0,3.2,480.0,2.61,1440.0,2.82,220.0,0.55,0.0,60,1.32,5,2.4,42.890644
400.0,48.0,3.2,456.0,2.61,1440.0,2.82,220.0,0.55,24.0,60,1.32,4,2.35,43.46031
420.0,42.5,3.15,914.7,2.55,1152.0,2.67,413.0,0.7,3.3,40,1.38,10,2.35,20.32088
420.0,42.5,3.15,909.8,2.55,1152.0,2.67,413.0,0.7,8.2,40,1.38,9,2.24,19.928875
420.0,42.5,3.15,301.6,2.55,1152.0,2.67,413.0,0.7,16.3,40,1.38,8,2.32,20.16595
295.0,43.0,3.14,885.0,2.54,1085.0,2.63,163.0,0.55,0.0,40,1.38,10,2.372,24.689358
295.0,43.0,3.14,885.0,2.54,1085.0,2.63,163.0,0.55,1.3,40,1.38,9,2.343,21.922325
295.0,43.0,3.14,885.0,2.54,1085.0,2.63,163.0,0.55,2.6,40,1.38,8,2.322,20.594036
295.0,43.0,3.14,885.0,2.54,1085.0,2.63,163.0,0.55,4.0,40,1.38,7,2.231,17.945639
336.0,42.5,3.15,844.0,2.6,930.0,2.69,178.0,0.53,0.0,45,1.39,12,2.5,31.151566
336.0,42.5,3.15,665.0,2.6,885.0,2.69,178.0,0.53,119.0,45,1.39,11,2.42,25.956894
336.0,42.5,3.15,465.0,2.6,840.0,2.69,178.0,0.53,249.0,45,1.39,9,2.4,22.35199
336.0,42.5,3.15,246.0,2.6,786.0,2.69,178.0,0.53,394.0,45,1.39,8,2.38,20.401937
367.0,42.5,3.15,805.0,2.6,939.0,2.69,180.0,0.49,0.0,45,1.39,10,2.39,37.93326
367.0,42.5,3.15,636.0,2.6,895.0,2.69,180.0,0.49,113.0,45,1.39,9,2.38,29.8916
367.0,42.5,3.15,445.0,2.6,850.0,2.69,180.0,0.49,238.0,45,1.39,8,2.37,25.61589
367.0,42.5,3.15,235.0,2.6,797.0,2.69,180.0,0.49,378.0,45,1.39,7,2.36,22.456758
402.0,42.5,3.15,771.0,2.6,941.0,2.69,181.0,0.45,0.0,45,1.39,8,2.4,37.60928
402.0,42.5,3.15,604.0,2.6,906.0,2.69,181.0,0.45,108.0,45,1.39,7,2.39,32.079575
402.0,42.5,3.15,428.0,2.6,854.0,2.69,181.0,0.45,229.0,45,1.39,6,2.38,28.955915
402.0,42.5,3.15,226.0,2.6,802.0,2.69,181.0,0.45,363.0,45,1.39,5,2.37,25.272602
327.2,45.0,3.15,905.6,2.64,877.2,2.84,229.5,0.7,0.0,40,1.23,11,2.5,31.836306
327.2,45.0,3.15,905.6,2.64,789.5,2.84,229.5,0.7,39.5,40,1.23,11,2.48,29.04556
327.2,45.0,3.15,905.6,2.64,701.8,2.84,229.5,0.7,79.0,40,1.23,8,2.46,22.945623
327.2,45.0,3.15,905.6,2.64,789.5,2.84,229.5,0.7,30.9,30,0.96,12,2.48,25.748878
